factor,spearman_ic_mean,spearman_ic_std,sample_bars
L1_momo,-0.044667371593032065,0.09480133041354612,11
L2_flow,-0.01666065816429631,0.05720511456385538,11
L3_confirm,-0.02167066505615187,0.06370752996291355,11
L4_oi,0.18459171546307906,0.0991896196458151,11
L5_cost,0.05919390495739472,0.07424196783108225,11
L6_rebound,-0.06182603502661918,0.05237751408200925,11
L7_candle,0.014986806422198094,0.07999582174475008,11
S1_crowd,-0.05958427117749388,0.07922214023700584,11
S2_whale_exit,-0.000150377012532872,0.053352830633559584,11
S3_price_oi_div,-0.1226034597372263,0.12786606058134223,11
S4_activity_oi_div,-0.16818485761956242,0.10510662046029955,11
S5_upper_wick,0.038944401908008026,0.06920300913518829,11
